Unnamed: 0,cd_loc,latlong
0,용호동 분포로 하이츠자이 상가 부근,"[35.1327668, 129.1109547]"
1,용호동 현대비치앞CCTV,"[35.12595260000001, 129.1098341]"
2,대연동 대천사거리CCTV(자전거도로),"[35.1083946, 128.9308709]"
3,대연동 대연사거리CCTV,"[35.134505, 129.0934742]"
4,대연동 수영로 대연성당 부근,"[35.1347825, 129.0985851]"
5,용호동 이기대공원로 동생말 부근,"[35.1318453, 129.1211447]"
6,문현동 장고개로 89 부근,"[35.133134, 129.069631]"
7,문현동 문현교차로CCTV,"[35.1381881, 129.0602954]"
8,용호동 SK뷰@앞 인도CCTV,"[35.1025645, 129.1191118]"
9,용호동 SK뷰아파트앞CCTV,"[35.1025645, 129.1191118]"
10,문현동 남동천로 BIFC 2단계 신축공사장 2번게이트 부근,"[35.1407749, 129.0654098]"
11,대연동 리마크빌뒤편CCTV,"[35.1376198, 129.1015344]"
12,문현동 국제카인테리어 부근,"[35.1434366, 129.0784044]"
13,문현동 고동골로 문현초등학교 부근,"[35.1453363, 129.072865]"
14,용호동 신선로 566 부근(교차로 모퉁이),"[35.1327668, 129.1109547]"
15,대연경성대부경대역CCTV,"[35.1379815, 129.1008275]"
16,대연동 금빛코다리앞CCTV,"[35.1321961, 129.0918245]"
17,감만동 양지골로 국제아파트 부근(인도),"[35.1223115, 129.0851978]"
18,대연3동 힐스테이트푸르지오 부근,"[35.138647, 129.1024086]"
19,문현동 전포대로 태영데시앙아파트 부근(도로에주차),"[35.1422239, 129.0672816]"
20,대연동 못골로 91-7 부근,"[35.1358333, 129.0897222]"
21,용호동 용호사거리CCTV(인도),"[35.1196179, 129.1120565]"
22,감만동 현대@사거리CCTV,"[35.1122016, 129.0845592]"
23,대연동 석포초교 앞 CCTV,"[35.12645, 129.091336]"
24,용호동 성모약국앞CCTV,"[35.1116204, 129.1111247]"
25,문현동 경동리인정문CCTV(횡단보도),"[35.1442273, 129.0731356]"
26,대연 CU부경해오름점CCTV,"[35.1360955, 129.1021712]"
27,용호1동 GS하이츠자이아파트부근,"[35.1327553, 129.1109465]"
28,대연동 금보맨션 앞 CCTV,"[35.136532, 129.097696]"
29,용호동 분포로 힐탑 탑플레이스 상가 부근,"[35.1320517, 129.1126263]"
30,문현1동 문현역부근,"[35.139125, 129.067386]"
