Unnamed: 0.1,cd_loc,latlong,lat,long,district
0,용호동 분포로 하이츠자이 상가 부근,"[35.1327668, 129.1109547]",35.13276679999999,129.1109547,608.0
1,용호동 현대비치앞CCTV,"[35.12595260000001, 129.1098341]",35.12595260000001,129.1098341,612.0
2,대연동 대천사거리CCTV(자전거도로),"[35.1083946, 128.9308709]",35.1083946,128.9308709,
3,대연동 대연사거리CCTV,"[35.134505, 129.0934742]",35.134505,129.0934742,398.0
4,대연동 수영로 대연성당 부근,"[35.1347825, 129.0985851]",35.1347825,129.0985851,468.0
5,용호동 이기대공원로 동생말 부근,"[35.1318453, 129.1211447]",35.131845299999995,129.1211447,749.0
6,문현동 장고개로 89 부근,"[35.133134, 129.069631]",35.133134000000005,129.06963100000002,83.0
7,문현동 문현교차로CCTV,"[35.1381881, 129.0602954]",35.1381881,129.0602954,
8,용호동 SK뷰@앞 인도CCTV,"[35.1025645, 129.1191118]",35.1025645,129.1191118,727.0
9,용호동 SK뷰아파트앞CCTV,"[35.1025645, 129.1191118]",35.1025645,129.1191118,727.0
10,문현동 남동천로 BIFC 2단계 신축공사장 2번게이트 부근,"[35.1407749, 129.0654098]",35.140774900000004,129.0654098,10.0
11,대연동 리마크빌뒤편CCTV,"[35.1376198, 129.1015344]",35.137619799999996,129.1015344,501.0
12,문현동 국제카인테리어 부근,"[35.1434366, 129.0784044]",35.1434366,129.0784044,184.0
13,문현동 고동골로 문현초등학교 부근,"[35.1453363, 129.072865]",35.1453363,129.07286499999998,113.0
14,용호동 신선로 566 부근(교차로 모퉁이),"[35.1327668, 129.1109547]",35.13276679999999,129.1109547,608.0
15,대연경성대부경대역CCTV,"[35.1379815, 129.1008275]",35.1379815,129.10082749999998,501.0
16,대연동 금빛코다리앞CCTV,"[35.1321961, 129.0918245]",35.1321961,129.0918245,364.0
17,감만동 양지골로 국제아파트 부근(인도),"[35.1223115, 129.0851978]",35.1223115,129.08519779999997,298.0
18,대연3동 힐스테이트푸르지오 부근,"[35.138647, 129.1024086]",35.138647,129.1024086,501.0
19,문현동 전포대로 태영데시앙아파트 부근(도로에주차),"[35.1422239, 129.0672816]",35.1422239,129.0672816,44.0
20,대연동 못골로 91-7 부근,"[35.1358333, 129.0897222]",35.1358333,129.0897222,327.0
21,용호동 용호사거리CCTV(인도),"[35.1196179, 129.1120565]",35.1196179,129.1120565,649.0
22,감만동 현대@사거리CCTV,"[35.1122016, 129.0845592]",35.1122016,129.0845592,268.0
23,대연동 석포초교 앞 CCTV,"[35.12645, 129.091336]",35.12645,129.091336,366.0
24,용호동 성모약국앞CCTV,"[35.1116204, 129.1111247]",35.1116204,129.1111247,618.0
25,문현동 경동리인정문CCTV(횡단보도),"[35.1442273, 129.0731356]",35.1442273,129.0731356,113.0
26,대연 CU부경해오름점CCTV,"[35.1360955, 129.1021712]",35.1360955,129.10217120000002,502.0
27,용호1동 GS하이츠자이아파트부근,"[35.1327553, 129.1109465]",35.13275529999999,129.1109465,608.0
28,대연동 금보맨션 앞 CCTV,"[35.136532, 129.097696]",35.136532,129.09769599999998,432.0
29,용호동 분포로 힐탑 탑플레이스 상가 부근,"[35.1320517, 129.1126263]",35.132051700000005,129.11262630000002,644.0
30,문현1동 문현역부근,"[35.139125, 129.067386]",35.139125,129.067386,46.0
31,감만동 부산은행앞CCTV(횡단보도),"[35.1161487, 129.0814498]",35.116148700000004,129.0814498,231.0
32,대연동 클럽클리오앞CCTV,"[37.5202915, 127.0228388]",37.5202915,127.0228388,
33,대연동 못골로12번길 29 부근,"[35.1354253, 129.0854475]",35.135425299999994,129.08544750000001,292.0
